Görüş,Durum
bozuk çıktı,Olumsuz
cok cabuk yolladılar ürün cok iyi biraz sesli normal,Olumlu
olumsuz yönleri aldığım ilk haftada içi pas tuttu isteyene fotoğrafını çektim göndereyim,Olumsuz
kırık geldiği kullanamadık,Olumsuz
öncelikle hızlı geldi 6 yıllık süpürgem bozulduğu epey bir araştırma yaparak almak istedim özelliklere yorumlara bakarak aldım ancak yorumlardan dolayı yine tedirgindim 3 gün önce yapılan temizlik üzerine yeni süpürgemi denedim evden çıkan kire inanamadım fişin uzunluğu fena değil çekişi güzel aparatları beğendim sadece tekerlekleri biraz amatör oyuncak onun dışında güzel ürün,Olumlu
hoparlor eywallah ta basa glince kötü bi bas sistemi son sese açınca berbat beklentimin altında bi ürün beğenmedim,Olumsuz
ürünü tek geçerim arkadaşlarıma önerdim arkadaşımada hediye olarak alıcam indirime girerse,Olumlu
23 ocak tarihinde aldım kullanmadan yorum yapmak istemedim mükemmel ev süpürdüğümde tertemiz oluyor halıların rengi yeniden kendine geldi teşekkürler burada teşekkürler rowenta,Olumlu
urunde sorun cikti samsung servis alacak faturaya ihtiyacim var faturami gonderin lutfen,Olumsuz
içindeki süzgeç plastik koku yapio demligin tutacak yeri isininca çıkıo alinmaz,Olumsuz
üründe sıkıntılar var,Olumsuz
ürün bir rafı eksik olarak elime ulaştı direk resistansı açıkta muhattap yok,Olumsuz
görünüşte şık bir tablet 10 1 olması ayrı güzel alalı 4 ay oldu öncelikle şarj soketi bozuldu şarj etmedi servis kullanıcı hatası dedi yapmadı şarj soketi ni dışardan yaptırdım 3 gün sonrasında açma kapama tuşu ses açma kapama tuşları çalışmaz oldu servis bunada kullanıcı hatası dedi sonuçta tuşa çekiçle vurarak açmıyoruz normal insan basıypruz neyse tavsiye etmem kalite olarak iyi piyasada bir tablet var ben cok magdur oldum başkasının magdur olmasını istemem şimdi tuş takımlarıda yapılacak bakalım tabletin neresende tür arızalar çıkacak,Olumsuz
ilk kullanımda çırpıcı adaptörü dişlisi arıza yaptı servisi aradığımda garanti kapsamına girmez ücretli tamirat yapılır yanıtı aldım alacak olanlar bunu dikkate alsın,Olumsuz
salı sipariş verdim perşembe elimdeydi üründen memnum kaldım fiyatına göre performansı iyi,Olumlu
amazzon un çalışma sisteminden memnun olmama rağmen üründen memnun kalmadım ürünün bluetooth bağlantısı sık sık kopuyor,Olumsuz
önceki model iyiydi şaşırdım makineyi kullandığımda köpük oldu sonraki kahveyi pişirmedi sadece suyu ısıttı buzdolabının yanında duruyor kahve pişerken dolaba sıçratmış dolapta kahve izleri oluştu başarılı bir makineden makineye gelindi anlamak mümkün değil türk kahvesi seven olarak hayal kırıklığı yaşadım ucuz bir makine değil üstelik,Olumsuz
urun arızalı olarak geldi bizde ilk kullanim bizden kaynaklidir bilmiyoruz 2 kere denedim hemen iade etmedim kutusunu bile atmadim nerden gondermemisim 18 gun oldu arizali urunu servise götürüp tamir ettirin dedi satici cok ilgililer elektronik cihaz sattiginiz 2 el almis olduk hayirli olsun,Olumsuz
sapı kısa biraz gürültülü çalışıyor fiyata ürün işinizi görür,Olumlu
ben memnunum arzumdu önceki ütüm beni perişan etti kırışıklık açar düzgün ütüler ürünü aldım rahat ettim tabanı kaygan buharı iyi rahat ütüleniyo kırışıklıkları iyi açıyo yormuyo ütülerken ben memnunum tavsiye ederim,Olumlu
fena degil,Olumlu
hayır beğenmedim parasına göre,Olumsuz
tuşları sert tuş aralıkları yakın aynı fiyata iyisi alınabilir,Olumsuz
kalite tartışılmaz çeliği korkmazın bildiğimiz çeliği sağlam biraz tipi kaba muadillerine göre,Olumlu
kullanışlı 5 dakikada çay hazır,Olumlu
arzum güzel sağlam bir tost makinası yapmış memnunum,Olumlu
hayır begenmedim,Olumsuz
alalı tam 1 yıl oldu 1089 liraya almıştim tabi kimse tlf yok tereddut ederek aldım birazda iyi almışım kasma donma yavaşlama yok kullanımı kolay çoğu 2000 3000tl lik marka tlf larla başa baş kapışır hatta attisi fazla 9 guncellemsiyle tlf resmen level atladı alacaklara tavsiyem güzel tlf supheniz olmasin bizi yarı yolda bırakacak falan al kullan keyfine bak,Olumlu
kugerr makine marmaris servis batu ticaret inanilmaz kotu,Olumsuz
olumlu yönleri telefon gayet hızlı ekran kalitesi iyi plastik çerçevesi var olumsuz yönleri sadece kamera kalitesini beğenmedim sadece matematiksel olarak evet 64 megapiksel xiaomi nin kamerası 2500 iso değeri var kaç sene önceden aldığım sony xz nin 3200 iso değeri var kadar fark olmamalı ayrıca televizyonda sony xz note 8 pro çektiğim fotoğrafları kıyasladım sony xz nin kamerasından iyi değil ayrıca kasası plastik maalesef,Olumlu
ürün güzel tüplü gazlı yazmışlar enayi yok karşınızda kardeşim biraz şeffaf olun,Olumsuz
ürün mukemmel başarılı,Olumlu
evet memnun kaldım ürün paketinde geldi şimdi kullanım klavuzunu inceliyoruz ürünün 6 7 yıl önceki hali vardı bizde motoru yanmıştı sanırım motoru yanmasın tasarımda baya düzenlemeler yapmışlar şık güvenli olmuş,Olumlu
ben telefonu satın alalı 4 yıl oldu bugüne kadar sorun çıkarttı nede üzdü tam tersi bir telefonda olmayan özellikleri var kamerasi gayet iyi performans acısından gayet yeterli sonuçta bir cep telefonu bir bilgisayar değil oyun performansı seriligi vs iyi bir cihaz yeni bir cihaz almayı düşündüğümde özelliklerde cihazların fiyatları neredeyse motorsiklet fiyatlarında cihazı aldirdigim iki arkadasimda cok memnunlar tavsiye ederim,Olumlu
ürünü aldığım zamandan itibaren kamera açılma hatası karşılaştım yaklaşık 2 hafta kadar sorun çözüldü sandım tekrar başladı sorun telefon komple kapandı açılmıyor xiaomi nin güzel cihazı fakat sorunu halletmesi gerekiyor,Olumsuz
sağlam hızlı geldi,Olumlu
tost makinesi olarak pratik fiyatı cok uygun mini olması cok kullanışlı mutfakta koyabilirim düşünmenize gerek yok sürekli elliniz altında olmasını isteyeceksiniz ucuz satıcıya ait,Olumlu
olumlu yönleri telefon tam anlamıyla sıfır kalitesinde teşekkürler olumsuz yönleri kutu içinde şarj cihazı mevcut yanında bir kulaklık olsaymış mükemmel olur du,Olumlu
izgaraları döküm değil,Olumsuz
merhabalar efendim herkese kamerasına bittim herkes zaten özeliğini seviyor fazla beni tatmin etti hızı güzel dokunmatiği tasarımı klasik samsung kalitesi donatılmış ram yeterli hafıza artabiliyor,Olumlu
teslimatı hızlıydı nar kırmızısı rengini aldım canlı parlak rengi beğendik hızlı pişiriyor tavsiye ederim,Olumlu
ürünü yorumlara bak aldım keşke almasaymışım ürünün ses seviyesi kadar iyi değil önceden 29 tl ye aldığım kulaklıktan kötü tavsiye etmiyorum mağazaya gelicek olursak ürünün ses seviyesinin mağazayla tabii bir ilgisi yok fakat ürünü teslim aldıktan sonra bir soruma cevap vermedi demekki cevaplar ürünü alana kadarmış zor bela sonunda cevap vermesine rağmen servi si ara bi ifade kullanması hoş gelmedi benim başıma gelmez demeyin kesinlikle uzak durulması gereken bir mağaza,Olumsuz
olumlu yönleri fiyatı iyi olumsuz yönleri ürün kötü,Olumsuz
ütüyü alirken araştirdim önceli kle kötü yorumlara baktim pahalisidan ucuzuna kadar nden dertli nsanlar kafam karişti bende hafi olmasi makul olmasi sebebi yle ürünü aldim oldukçada memnun kaldim ütü isinmadan buhar modu açikken su koyarsan bütün ütüler damlatir hatta akitir şi bi tti ği nde çi nde su birakmayacaksin adamlar kullanma klavuzunda yazmişlar bence para vermeye gerek yok zaten pahali ütüleri ağir olmasindan bahsedi li yor ütü gayet hafi tavsi ye ederi,Olumlu
i lk aldığımda fena değildi sonra sonra performansı iyice düştü çabuk bitiyor şarjı geç şarj oluyor ayrıca kablosu kısa bir usb kablonun telefon kısmı oynamaya başladı temassızlık oluyor bazen ayrıca 10400 lük değil kesinlikle 5000 kapasitesi,Olumsuz
ürünün parçalama gücü iyi çift bıçak olunca iyi iş görüyor kapağında değişik bi kapama sistemi var zor açılan bir kapak yapamazlardı sanırım açıdan kullanışşsız,Olumlu
çekiş hızı harika pratik iyiki almışım,Olumlu
yorumlara bakarak ben üründe karar kıldım 2 haftadır kullanıyorum gayet kullanışlı evet biraz fazla sesli ancak su filtreli süpürgelerin genel eksikliği şimdiki teknolojide bence dert etmeye gerek yok emiş gücü harika fiyata normal süpürgelerin olduğu düşünüldüğünde tavsiye ederim,Olumlu
bi benim ütüm su akıtıyor hayal kırıklığı,Olumsuz
minicik yer kaplamaz gayet güçlü bir canavar geldi ndirimdeyken media clup indiriminide ekleyip 529 tl bir tutara aldığımıda söylersek oldukça iyi oldu tek sıkıntı uygulamanın sıkıntısı kargo takibi tekrar tekrar takip no gir tel no gir seferinde iyi değil düzeltilmesi diğer uygulamalarda adım adım anında görünüyor kargo getirdi orjinal kutusunu ek olarak azından bir naylona sarabilirlerdi hoş değildi hele böyle virüslü bi dönemde yine ürünü gölgelemez mutlu edici bir ürün kırık çıkık yok,Olumlu
pratik küçük etkili,Olumlu
